Date,Open,High,Low,Close,Adj Close,Volume
2009-01-14,4.362857,4.418571,4.111429,4.220000,4.220000,9045400
2009-01-15,4.182857,4.618571,4.124286,4.517143,4.517143,7408100
2009-01-16,4.561429,4.561429,4.321429,4.465714,4.465714,6655600
2009-01-20,4.428571,4.487143,4.237143,4.261428,4.261428,5606300
2009-01-21,4.325714,4.412857,4.188571,4.384286,4.384286,8064000
2009-01-22,4.264286,4.471428,4.208571,4.405715,4.405715,7172900
2009-01-23,4.331429,4.425714,4.295714,4.348571,4.348571,9434600
2009-01-26,4.342857,4.457143,4.158571,4.307143,4.307143,15659700
2009-01-27,4.720000,5.050000,4.702857,4.974286,4.974286,60159400
2009-01-28,4.998571,5.174286,4.987143,5.165714,5.165714,18397400
2009-01-29,5.057143,5.414286,5.037143,5.268571,5.268571,24274600
2009-01-30,5.135714,5.252857,5.045714,5.162857,5.162857,18736900
2009-02-02,5.080000,5.371428,5.080000,5.278572,5.278572,15437100
2009-02-03,5.270000,5.318572,5.142857,5.248571,5.248571,17175200
2009-02-04,5.285714,5.421429,5.172857,5.264286,5.264286,14547400
2009-02-05,5.085714,5.358572,5.085714,5.352857,5.352857,14248500
2009-02-06,5.260000,5.301429,5.102857,5.285714,5.285714,21145600
2009-02-09,5.262857,5.285714,5.131429,5.277143,5.277143,10991400
2009-02-10,5.230000,5.357143,5.150000,5.167143,5.167143,16384200
2009-02-11,5.144286,5.211429,4.972857,5.167143,5.167143,13302100
2009-02-12,5.242857,5.428571,5.227143,5.418571,5.418571,20511400
2009-02-13,5.428571,5.547143,5.378572,5.505714,5.505714,20008800
2009-02-17,5.430000,5.491428,5.281428,5.317143,5.317143,15198400
2009-02-18,5.341429,5.375714,5.185714,5.285714,5.285714,13208300
2009-02-19,5.237143,5.480000,5.237143,5.298572,5.298572,14897400
2009-02-20,5.232857,5.395714,5.222857,5.257143,5.257143,11410700
2009-02-23,5.265714,5.274286,5.054286,5.082857,5.082857,14423500
2009-02-24,5.088572,5.190000,5.057143,5.151429,5.151429,14244300
2009-02-25,5.227143,5.307143,5.054286,5.112857,5.112857,15887900
2009-02-26,5.072857,5.250000,4.985714,5.111429,5.111429,10766700
2009-02-27,5.111429,5.257143,5.035714,5.177143,5.177143,8995700
2009-03-02,5.057143,5.141428,4.858572,4.907143,4.907143,15885100
2009-03-03,4.898571,5.588572,4.872857,5.194286,5.194286,51740500
